選手	チーム	打率	試合	打席	打数	得点	安打	二塁打	三塁打	本塁打	塁打	打点	盗塁	盗塁刺	犠打	犠飛	四球	故意四	死球	三振	併殺打	長打率	出塁率
甲斐　拓也	(ソ)	.227	143	479	405	42	92	15	0	12	143	44	6	6	26	2	44	0	2	142	7	.353	.305
福田　周平	(オ)	.275	107	471	408	47	112	14	1	1	131	21	9	1	10	2	43	0	8	52	6	.321	.354
糸原　健斗	(神)	.286	125	488	441	34	126	17	3	2	155	30	6	5	1	3	41	0	2	61	9	.351	.347
紅林　弘太郎	(オ)	.228	136	473	448	37	102	22	2	10	158	48	2	1	6	4	12	0	3	101	11	.353	.251
茂木　栄五郎	(楽)	.259	120	466	410	50	106	19	4	14	175	53	6	5	0	2	48	0	6	107	6	.427	.343
荻野　貴司	(ロ)	.296	143	643	570	86	169	33	5	10	242	45	24	11	5	3	53	0	12	70	5	.425	.367
菊池　涼介	(広)	.277	132	542	494	64	137	23	2	16	212	60	1	5	2	3	42	2	1	86	8	.429	.333
藤岡　裕大	(ロ)	.255	137	493	432	41	110	21	3	3	146	37	10	3	18	1	40	2	2	95	7	.338	.320
西川　遥輝	(日)	.233	130	547	447	68	104	19	5	3	142	35	24	11	3	4	89	1	4	99	3	.318	.362
西川　龍馬	(広)	.286	137	551	504	57	144	19	1	12	201	60	3	3	4	4	37	1	2	70	14	.399	.335
辰己　涼介	(楽)	.225	130	443	374	49	84	13	1	10	129	32	6	6	11	1	51	0	6	99	7	.345	.326
近本　光司	(神)	.313	140	612	569	91	178	33	5	10	251	50	24	7	4	2	33	0	4	58	6	.441	.354
近藤　健介	(日)	.298	133	545	447	61	133	37	4	11	211	69	4	1	0	6	88	3	4	84	11	.472	.413
鈴木　大地	(楽)	.277	143	628	552	70	153	19	3	10	208	53	3	2	13	5	52	0	6	51	12	.377	.343
鈴木　誠也	(広)	.317	132	533	435	77	138	26	0	38	278	88	9	4	0	5	87	11	6	88	7	.639	.433
青木　宣親	(ヤ)	.258	122	501	446	57	115	29	0	9	171	56	0	0	0	2	43	1	10	44	10	.383	.335
高橋　周平	(中)	.259	137	520	475	40	123	27	0	5	165	39	1	0	0	4	40	4	1	79	21	.347	.315

